Unnamed: 0	title	comment	senta_article	senta_product
1006	[心得] 蜜粉平均值	也換算了Kate蜜粉~雖然六克對我而言可以用很久~但一克要65囧以後會想買專櫃!!	negative	
3244	[心得]資生堂心機長效立體光粉霜UV(粉條)快速心得	請問粉條的質地跟遮瑕膏相比偏乾或稀？突然想起N年前的艷陽夏防曬粉條XDD	neutral	
4199	[心得] 我的2009年度十大彩妝~超leg版~	"哈哈 偷打網誌的時候就是沒法檢查XDD而且還忘了放網址..這故事告訴我們..""打網誌""要認真 (XDD)朵拉但我還是一直有來準時報到唷^^人參是故意的沒錯~~嗚~~我冷了嗎..^^|我知道120%也停產了~(嘆)所以我這篇是停產逸品大全~(誤)..大家好久不見~揮手;P還有人記得我好感動^^話說講到版聚...好像是不是可以再來辦一下了:p (偷提議)樓上AYURA達人給了我強心針^^本來有點怕最後一支屯貨快用完了呢^^|一年XDDD"	neutral	
3515	[心得] DIOR 癮誘映光唇彩 #427 (2010春新色!)	嗯...我覺得這顏色跟網誌裡的腮紅色不搭耶感覺整個人有點黯沉 有像以前裘海正在飛鷹三姝照片裡的妝感噗~我洩漏年齡了	negative	
514	[心得] 遲到的-我的絕版化妝品	推薦西喜~~	positive	
4208	[心得] 我的2009年度十大彩妝~超leg版~	是LAG吧XDD	negative	
3300	[心得] 又是CANMAKE!四色修容03	眼妝就是一般咖啡色+這盤暈出來的喔!	negative	
2276	[心得] 男性修眉分享!不讓女生專美於前!	CD Amail 日本經濟L行修眉刀他有分藍色(安全刀片)粉色(不安全刀片)哈 不知道要怎麼形容,就說是不安全刀片會幫男人修眉毛的是好女人！？我覺得不安全刀片很峰利,使用上藍色的不會比粉色的難用,不建議初學者拿粉色沒錯!粉色可以拿來當美工刀= =	neutral	
419	[心得] INTEGRATE彩虹甜心眼影盒#VI708	壓腮紅那個是跟壓粉餅作法一樣嗎??腮紅超美~原PO化紫色眼影也超美	neutral	
3004	[心得] 化妝品和保養品的小幫手!!	這個我也愛用:D	negative	
3387	[心得] Media新色腮紅，10色都摸到了！(終於)	今天帶刷具去全聯試RS2 很自然..不太顯色其實有點小失望呢....下次再去試OR1  哈	neutral	
4227	[心得] MaquillAGE美人心機2010S/S長效眼線筆	真的看不懂...	negative	
1262	[心得] 開架蜜粉=便宜?!	推薦推薦	positive	
1870	[心得] Lavshuca戀法迷棕眼彩盒BE-1	我已經買RD＆PK盤了，今天又默默把BE包回家，我這幾天都用RD色，持久又自然唷，我覺得我可能會買齊五盤><大家都喜歡PK嗎？我覺得RD-1更值得推薦ㄟ	neutral	
2823	[心得] 口紅一吃就掉色?	吃粉底液不如吃口紅(誤)	neutral	
2804	[心得] Revlon露華濃茶花美肌腮紅盒（瑩澤修容餅）	嗚~我沒看過(跑走)>__<	positive	
3066	[心得] 腮紅之我論--關於腮紅的博大精深	我也是不能刷笑肌的人,要刷到顴骨才可以	neutral	
2621	[心得] 六種防曬分享	妮維雅好用~不會乾澀	positive	
1166	[心得] 開架蜜粉=便宜?!	驚訝!	positive	
3231	[心得] 還蠻好用的！benefit萬眾矚目眼底膏！	看來還不錯用呢 不過等我的LEMON AID用完說不用又出新版了 (苦笑~)定	neutral	
945	[心得] 5個非買Nars Douceur腮紅不可的原因!!!!!	不知道顏色跟oasis有沒有重複到耶?　不然好心動喔>/////<	neutral	
2431	[心得] DR.WU 舒緩遮瑕BB霜	原po皮膚只是較泛紅吧,沒到失望臉啦	negative	
3064	[心得] 腮紅之我論--關於腮紅的博大精深	推薦一下 我都乖乖刷顴骨上（咦）	positive	
667	[心得] *AQUALABEL*保濕卸妝凝凍	不推薦 我用完也會用洗面乳再洗一次...但手也油膩洗不掉 超失望的	positive	
3705	[心得] 我有整數控之LA FEMME腮紅30色試色心得分享(上)	整個超推薦的!!!我也要來推薦下集XDD	positive	
623	[心得] 花王est Emotional Multiples Eyes 05	入手咖啡色＆藍色 粉質超細 不愧是貴婦牌	positive	
1219	[心得] 開架蜜粉=便宜?!	現在開架的唇膏價格也貴了 LAV新的唇膏1.6g要390元!!!換算起來LAV那款唇膏已經跟Dior舞台光價格差不多了!!	negative	
2844	[心得] 瞬間大眼的秘訣--眼線	"可以啊!我自己也有MJ咖啡色!:p不過我就算用咖啡色,還是會用眼影暈一下讓邊界看起來比較不明顯~我也知道內眼線不好,可是我受不了那條餘白對啊!所以就只能在化的時候畫少一點:p你剛剛說咖啡色讓我想到我應該多加這一句!因為我自己也愛用咖啡色眼線液~只是我要敎的朋友是買黑色,所以我就用黑色這點是真的!我的新手朋友們也都愛黑色他們覺得比較安全~殊不知自然的安全色是咖啡色!哈哈哈應該是一樣的意思吧?XD如果你只畫內眼線沒畫上眼線,那就是隱形啦好繞舌~哈哈哈剛剛也有網友留言問耶?是你嗎?XD我是戴帝康雙週變色片棕色不過要買這款要小心~我覺得品管不佳你可以在我網誌搜尋""帝康""就可以看到我之前遇到的窘境...其實就是自然的順著眼線收尖就可以了!多練幾次就可以拿捏好收尖的角度跟力道囉!帝康的還算便宜囉!可以戴戴看~"	neutral	
1312	[心得] 8枝睫毛膏PK戰 (KissMe.Integrate.MJ.媚比琳高跟鞋.Fasio..)	對阿！剛開始用很容易三根睫毛變兩根..	negative	
4390	[心得] 半乾的眼線膠復活	樓上是說ellefar睫毛膏稀釋液吧	negative	
343	[心得] integrate俐落極細眼線筆	那拿來畫畫好用嗎XD (糟糕我現在很少畫圖)(大推消失的眼線XDDD)我用了兩種眼線膠，沒用Q_Q KATE還是直接買下手的，嗚....我有寫出來呀:p 是maybelline對油眼人來說，這支真的只有畫在手上美Q.Q	neutral	
681	[心得] NARS #DOUCEUR	O_O!!我明天也要試!!	positive	
3839	[心得] 睫毛夾小技巧	阿阿阿 救星 我愛你 我每次都夾不到眼尾	neutral	positive
408	[心得] 限量香奈兒SOHO DE CHANEL	可以推V6嗎XDDDD	neutral	
4201	[心得] 我的2009年度十大彩妝~超leg版~	leg  ??	neutral	
4682	[心得] 真的一見傾心~只有我這麼誇張嗎	不是每個人都會經過忠孝復興站 然後看見那篇廣告啊......	negative	
3299	[心得] 又是CANMAKE!四色修容03	我的這盤被我用到一點不剩!!!!真的完全用光!!!!!!!!!!	negative	
3533	[心得] ⊙__⊙!超防水腮紅。MUF HD漾彩腮紅霜。	因為去海邊不一定會下水:p	neutral	
666	[心得] *AQUALABEL*保濕卸妝凝凍	天哪!還好我有先上來看評價，差點下手了	negative	
447	[心得] INTEGRATE彩虹甜心眼影盒#VI708	腮紅好美!!	positive	
4502	[心得] 搶救mac好乾的唇膏	我覺得不乾耶且唇蜜上去後還濕成一團	negative	
3574	[心得] MAC 柔礦冰淇淋腮紅 TWO VIRTUES	這顆好看，我有+1	positive	
2273	[心得] 男性修眉分享!不讓女生專美於前!	"不自然會不會是眉頭的關係呢?(修短點?)另外想請問安全跟不安全刀片除了""安全""以外還有哪些差別呢?(後者比較鋒利嗎?)"	neutral	
1669	[心得] INTEGRATE 容耀奇肌 礦物粉餅	我買了後也是送我媽,我用變黃臉黑人@@	negative	
2785	[心得] ZA 超微米 TISS 三款卸妝油	有看有推薦 謝謝~~	positive	
2508	[心得] Maybelline四色眼影盤--自然煙薰--	飛粉就好滅..	negative	
1485	[心得] 比88色更囂張，120色眼影盤試色！	WOW~	positive	
686	[心得] 中國大陸福建廈門&金門小三通彩妝採購	有賣XX鳥睫毛膏嗎-->我對這個很好奇	neutral	
275	[心得] 卸妝大作戰之蜜妮vs斯儂恩篇	斯儂恩化學味真的很重...	negative	
2274	[心得] 男性修眉分享!不讓女生專美於前!	只有我覺得有一咪咪的不自然嗎	neutral	
3074	[心得] 腮紅之我論--關於腮紅的博大精深	專業好文~~化妝迷思真是很多啦	positive	
604	[心得] Urban Decay Naked Palette※大地主的愛	好美的眼影盤唷  推薦了	positive	
1496	[心得] elite模色眼影盤-巴黎玫瑰3	原PO表情好經典喔~哈哈哈XD	positive	
2051	[心得] 韓國觀察記--韓妹的妝容打扮	韓妹的丸子頭都是小顆、隨興XD	neutral	
3887	[心得] ZA亮彩映色脣膏-4款顏色分享	看了好想要PK-1呀!!!!!!	positive	
613	[心得] Urban Decay Naked Palette※大地主的愛	炫耀文 ............. 〒△〒	positive	
1474	[心得] 比88色更囂張，120色眼影盤試色！	好像好像小學時候的水彩餅唷~~~	negative	
267	[心得] 卸妝大作戰之蜜妮vs斯儂恩篇	施巴感覺太油了 而且香味不喜歡:p蜜妮不喜歡的點應該是卸不乾淨的感覺吧而且會薰眼><平常只擦防水防曬SPF50 PA+++ 不太夠力聽說斯儂恩每個口味?用起來都差不多???	neutral	
4296	[心得] 看youtube達人必備單字集	推薦~~~	positive	
1396	[心得] M.A.C 妝前乳液~~~好用阿~推薦?	底妝確實會比較服貼，但有些人會爆粉刺耶@@我是買了之後看精華區才發現很多人說它雷~嚇得我只敢一個禮拜用一次XD	negative	
3930	[心得] 第20屆世貿美容展Day2	11頁!!好威~	positive	
4694	[心得] 真的一見傾心~只有我這麼誇張嗎	標題跟內容的敘述都很口語  所以才有人會看不懂	negative	
534	[心得] 燙睫毛 芭比娃娃燙	我有種過睫毛 我覺得很麻煩 因為卸妝不能用卸妝油 洗臉不能很大力 然後掉毛的時候 會很醜 唯一的好處是素顏的時候也不怕種睫毛對我這種懶人來講 不很適合 照料很花時間 而且我眼妝喜歡用卸妝油卸台中凱緹好像也會去那邊工作 要打電話問	negative	
2967	[心得] 露華濃香草精華口紅(含ZA鮭魚嫩粉比較)	好推薦喔!板上好像只有這篇心得文Orz	positive	
4446	[心得] 睫毛膏大車拼	怎麼不對～？推kate真的很好用XD	neutral	
717	[心得] 33色不是唯一解-66色唇彩盤試色(最終)	哇~辛苦了~推薦!!	positive	
2794	[心得] Revlon露華濃茶花美肌腮紅盒（瑩澤修容餅）	這個以前我有買 後來送人了 XD	neutral	
1998	[心得] 打敗我手中三支王牌睫毛膏的大創橡膠頭睫毛膏	我只能說還好我有看完~XD	negative	
4647	[心得]開架~專櫃 推薦給黃皮朋友8款顯白顯氣色唇膏	我測出來是冬天blue base可是怎麼看自己怎麼黃耶XD	negative	
4055	[心得]我的裸妝重點整理	完全不裸+1  妝感超明顯的啊...	negative	
4653	[心得] 我的省錢撇步：找到屬於自己的假睫毛!!	衝人氣?	neutral	
2539	[心得] 修修眉-我的修眉步驟&高挑眉、平緩眉	推薦少女時代(流口水XD)	positive	
480	[心得] Paul&Joe敗家	我想請問，這個牌子在國外是不是算開架阿?	neutral	
3703	[心得] 我有整數控之LA FEMME腮紅30色試色心得分享(上)	來改一下XD圖片有時間再來改XD 大家心照就好XD那你看了有滅火嗎XD 還是持續燃燒XDTO july22:一樣(淚握)根本就是看哪個名字喜歡買哪個就好了每篇寫十個的話 應該要三篇啦  會有中篇和下篇我知道  但是圖片沒辦法改了XD 等等文字再改	neutral	
4431	[心得] 八款粉底液大車拼以及色號分享	LM推薦+1~我現在也是用3D型塑保濕粉底液~^ ^	positive	
144	[心得] 小桃氣的lafemme腮紅-fuchsia	原PO好推薦~我都戀愛了	positive	
3169	[心得]瀝乾刷具的簡單方法 (內有影片介紹)	謝謝分享 還很用心的拍了影片呢	positive	
1397	[心得] M.A.C 妝前乳液~~~好用阿~推薦?	搭EL無暇絕配，但要冒爆發閉鎖粉刺林的險	negative	
1713	[心得] 大滿意！Lavshuca 戀法迷棕眼彩盒。	今天才忍住不買，現在好後悔〒△〒	negative	
748	[心得] 33色不是唯一解-66色唇彩盤試色(最終)	辛苦了~這次好多顏色都推薦看	positive	
2537	[心得] 修修眉-我的修眉步驟&高挑眉、平緩眉	修眉文必推薦！到現在修眉還是我的痛Q_Q	positive	
61	[心得] MJ戀愛魔鏡︰花錢找罪受的魅惑光感睫毛膏!!	我也推薦的~用了第二隻了!!	positive	
2170	[心得] 我的睫毛這樣夾	這不推薦不行XD	positive	
4054	[心得]我的裸妝重點整理	可是我覺得照片看起來不很「裸」	negative	
2037	[心得] 韓國觀察記--韓妹的妝容打扮	軍裝大叔那張照片的主題是什麼阿(目光完全被吸走 XD)	positive	
1554	"[心得] 騙很大之年度眼妝""慘""品"	哈哈哈哈哈推薦不祥的陰影和骨肉分離XDDDDD	positive	
1193	[心得] 開架蜜粉=便宜?!	推薦.....實用	positive	
4374	[心得] EZ 6D魔奏	我比好奇的是大家怎麼有耐心看完廣告且被生火？我也容易被購物台吸引,但從來也沒買過,我只是喜歡看他們在那邊演戲殺價,不過6D魔奏的廣告品質,坦白講,很差XD	neutral	
2553	[心得] 推薦nature kiss 天然潤色護唇膏	想看擦起來的照片!	negative	
664	[心得] *AQUALABEL*保濕卸妝凝凍	眼部的確還是要用專用的產品卸才能卸得乾淨又有效率,不過F不覺得油膩嗎?還是你有可以擊破油膩的大絕?XDDD保濕是真的值得嘉許,因為用完這個不馬上抹保養品也不會覺得臉很乾我也是卸完還會再用洗面乳,而且還是超微米那罐哩!我熱愛乾澀感耶XDDDDD(遮臉)C大是說試在手上那一段嗎?	neutral	
2196	[心得] 我的睫毛這樣夾	哦~~下班來試試	positive	
1723	[心得] 用刷的假睫毛 - Integrate 根根分揚睫毛膏	吞睫毛膏讓我笑了XDDDDDDD草泥馬？！那不是羊駝嗎...我一直想到某西嘶梗orz 對不起我好糟糕就請罰我抄草泥馬一百遍（喂）	neutral	
4308	[心得] 看youtube達人必備單字集	PUSH~!!!	positive	
4283	[心得] 看youtube達人必備單字集	我一直以為eye crease是眼窩耶因為看youtube他們在說上在crease時都是在眼窩那邊~http://0rz.tw/dtLJU  這個就是這樣http://0rz.tw/fpfgT 不過這個又不只在眼窩那邊也有在眼折...難道是他們折比較大...所以他們都會用在眼窩了嗎???	neutral	
3738	[心得] 我有整數控之LA FEMME腮紅30色試色心得分享(上)	很棒了！！FRAMBOESIA我一直都想買耶XD更燃推薦，我就是覺得他顏色很特別才喜歡XD	positive	
2516	[心得] 松本店長纖長款你好!!	沒錯,愈急著愈刷不好~~~~	negative	
3228	[心得] 無緣的FASIO光影戲法眼彩盒#BR-1北非迷金 極地夜藍#BL-2	我用也不飛粉 是難得我覺得好看的藍~	positive	
2112	[心得] CEZANNE 絲柔腮紅霜#01	文筆金促咪~~~不知道跟canmake比持久度如何?	neutral	
410	[心得] 限量香奈兒SOHO DE CHANEL	我也好愛小香的產品，這個真的會捨不得用	negative	
4156	[心得] 妙巴黎 果然美肌遮瑕膏	黑眼圈真的遮得掉嗎？	neutral	
2223	[心得] 我的睫毛這樣夾	感覺下手好重喔!好痛	negative	
2470	[心得] 露華濃冰淇淋粉霜	油肌推薦了！但目前還沒看到架上的試用品...想試色呀	positive	
3453	[心得] 當MJ遇上KISS ME 眼線液比一比	好用推薦~不暈又好卸	positive	
4167	[心得] 矮的台北後車站美材行之旅(2010版)	介紹的很詳細~~~推薦推薦	positive	
869	[心得] 33色不是唯一解-66色唇彩盤試色!!	很推薦了這各!!!	positive	
1406	[心得] M.A.C 妝前乳液~~~好用阿~推薦?	致粉刺+1 不好用哦	negative	
575	[心得] 遮詭異黑眼圈的敗家記錄..	所以~~是幻覺 XD原來不是我幻覺 想起來在櫃上櫃姐有先混眼霜進去 難怪不會乾  0 0	negative	
1622	[心得] 【LUNASOL】波光浄化 眼影腮紅全試色	日本8/20上市，差不多該開始宣傳了啊~	negative	
1382	[心得] M.A.C 妝前乳液~~~好用阿~推薦?	大驚!? 一直以為妳家瑪莉亞是真的瑪莉亞	neutral	
3376	[心得] 迪士尼公主*//美女與野獸*//貝兒仿妝	我覺得乍看之下有一點點點點像梁文音XDDD	negative	
1961	[心得] 改變黑色眼線的好幫手-美國E.L.F Eye Transformer	推薦 謝謝分享^^好推薦!!!	positive	
3241	[心得] INTEGRATE 容耀奇肌 礦物粧前霜	我也有買 也想失望	negative	
2727	[心得] 唇蜜救星！MAC隔離潤色護唇膏SPF20	恭喜上任!!!!!!!!!!!	positive	neutral
3454	[心得] 當MJ遇上KISS ME 眼線液比一比	我用夢思嬌會薰眼耶 用一次就不敢用了	negative	
3096	[心得] 腮紅之我論--關於腮紅的博大精深	推薦-//////-	positive	
3114	[心得] 深乾唇人多款護唇膏&唇蜜比較	你分享的就是花蕾膏~	positive	
2464	[心得] 露華濃冰淇淋粉霜	是擦在手上真的很乾 所以毛孔的話...	neutral	
1835	[心得] 用刷的假睫毛 - Integrate 根根分揚睫毛膏	好有趣的原PO~ 草尼馬好妙XD	positive	
2816	[心得] 口紅一吃就掉色?	粉底液能吃嗎? @@ 感覺吃到這個較可怕	neutral	
2962	[心得] 露華濃香草精華口紅(含ZA鮭魚嫩粉比較)	"這支和鮭魚我都有 可是我擦香草很明顯不是裸色，跟我紅吱吱的嘴巴顏色是一樣啦(難道這也是裸的一種><)鮭魚擦起來就是沒有氣色的那種""裸""對紅唇族來說 它類似護唇膏..(好貴呀)所以我建議嫌鮭魚很慘白淡唇色人用較好"	neutral	
2660	[心得] 日本花王Curel乾燥性敏感肌系列卸妝蜜 (大推！)	真的很好用很舒服，但只有我覺得眼線的部份卸不太乾淨嗎？我卸完上乳液後有用衛生紙或化妝棉擦過眼皮及眼下測試還是有一點黑黑的	neutral	
79	[心得] MJ戀愛魔鏡︰花錢找罪受的魅惑光感睫毛膏!!	我推薦用這枝的耶@@ 也剛囤了第二枝XD	positive	
2352	[心得] SOFINA Primavista粉底+零油光	想請問飾底乳+粉底液多少錢呢?謝謝^^	neutral	
3071	[心得] 腮紅之我論--關於腮紅的博大精深	我也覺得底妝和腮紅好難!喜歡修容和腮紅連成一氣 但總是做不到位..又會泛紅 唉~	neutral	
543	[心得] Beautymaker時尚刷具七件組小開箱心得~	orz只有我的刷毛有二隻被折到分叉~~推薦...	positive	
4035	[心得] MAC立體漸層腮紅。2010春季限量。Blush Ombre	9G很多了 一定可以傳給女兒...	positive	
3346	[心得] 膚蕊銀色BB霜	昨天剛買 還沒用過 感謝心得~~	positive	
122	[心得] 小桃氣的lafemme腮紅-fuchsia	很好看呢!! ^^	positive	positive
1451	[心得] 比88色更囂張，120色眼影盤試色！	XDD 國王的眼影	positive	
4200	[心得] 我的2009年度十大彩妝~超leg版~	lag???	neutral	
2905	[心得] Maybelline 快捷摩天濃防水睫毛膏	推薦原PO用心的好心得^^	positive	
4376	[心得] EZ 6D魔奏	有感覺年輕20歲嗎?	neutral	
4505	[心得] 搶救mac好乾的唇膏	我剛開始用不乾 可是大約四五個小時候就會開始脫皮	negative	
320	[心得] 眉筆抉擇大指南:Maybelline vs. Kate vs. Integrate	但我今天已經買英特鬼的眉粉了....	negative	
2997	[心得] 化妝品和保養品的小幫手!!	酒棉擦一擦就好了啦@@	positive	
2960	[心得] 露華濃香草精華口紅(含ZA鮭魚嫩粉比較)	我自己試在手上，感覺都偏紅~?好像沒有比較偏橘的顏色O_o	neutral	
1265	[心得] 開架蜜粉=便宜?!	大家都用不完CHACOTT 我用光兩罐耶XD我買兩罐不同的顏色調色上蜜粉是採取豪邁的大刷子狂刷兩罐差不多兩年吧 還混進了一罐awake30g的蜜粉 用刷子消耗比較快然後現在是倩碧混紀梵希用	negative	
3997	[心得] Maybelline超震電動睫毛膏 (&蘭蔻的震動睫毛膏比較)	我被網誌的fresh推薦了 囧 打算等等去買	positive	
830	[心得] 33色不是唯一解-66色唇彩盤試色!!	很推薦了我的媽 藍色揪竟會變怎樣XD	positive	
596	[心得] 蒂芬妮亞眼唇卸妝液新舊款比較	這個舊款我覺得也很用耶~比Loreal好卸 :))	positive	
2538	[心得] 修修眉-我的修眉步驟&高挑眉、平緩眉	對，隱形眼鏡很搶戲,朋友都以為是缺角	neutral	
354	[心得] MAYBELLINE 純淨礦物保濕兩用粉餅	艾杜莎20 不過應該可以用10 所以我才選PO1不過就是..我建議如果油出比較多一點還是用吸油面紙吸一下比較好 但可以不用補妝我上粉底之前是擦NOV的防曬霜這好像也是礦物的是嗎? 我覺得這兩種擦起來不太有負擔最近發現的確在汗水過多時有脫妝的傾向所以可能過段時間要用一下面紙或吸油面紙	neutral	
2183	[心得] 我的睫毛這樣夾	看起來好痛!! 囧	negative	
4700	[心得] 真的一見傾心~只有我這麼誇張嗎	………不懂	negative	
4654	[心得] 我的省錢撇步：找到屬於自己的假睫毛!!	被騙了QAQ那為什麼..要貼網誌呢??就寫純文字啊	neutral	
3500	[心得] 好遮色! KATE 潤色裸唇膏 #BE-1	我擦起來好像生病唇唷~~嗚嗚 不適合我耶	negative	
1434	[心得] 比88色更囂張，120色眼影盤試色！	好用心的心得文 辛苦了～ 不過看到王樣水彩有懷念一下小時候畫畫 哈～ 敘述很精闢	positive	
223	[心得] 今天的屈臣氏讓我殺很大！KATE新眼影上市啦！	果然是大頭寶寶XD	positive	
3934	[心得] 第20屆世貿美容展Day2	我朋友有買到假睫毛一大盒50元唷~	neutral	
4183	[心得] 矮的台北後車站美材行之旅(2010版)	有看有推薦唷~~~	positive	
1737	[心得] 用刷的假睫毛 - Integrate 根根分揚睫毛膏	這隻我也愛用～唯一有屯貨的睫毛膏 同意要乾一點才真正開始超好用	neutral	positive
4643	[心得] 我的標題是孤兒 O__Q怎麼都沒人回答我的?	以為沒回+1  不過版主真的用心喔^^~推薦	positive	
1505	[心得] elite模色眼影盤-巴黎玫瑰3	堅推薦地繼續試色好推薦  哈哈哈	positive	
1086	[心得] 蜜粉平均值	超感謝原PO!!!:)	positive	
1456	[心得] 比88色更囂張，120色眼影盤試色！	超認真又詳細的說明耶!!!好用心~	positive	
378	[心得] KRYOLAN 歌劇魅影 凝水光粉妝條	同意樓上	negative	
1969	[心得] 打敗我手中三支王牌睫毛膏的大創橡膠頭睫毛膏	以前買過MACFACTOR的是軟式刷頭 刷得很漂亮 又不結塊 但台灣沒賣	negative	
875	[心得] 33色不是唯一解-66色唇彩盤試色!!	超期待藍色~~XDDDDD	positive	
2497	[心得] Maybelline四色眼影盤--自然煙薰--	原PO底妝的妝感好好阿,可以請教化法嘛?	neutral	
3813	[心得] 妙巴黎果然美肌遮瑕膏 & Quealy 四色遮瑕膏	卡細紋+1	negative	
82	[心得] MJ戀愛魔鏡︰花錢找罪受的魅惑光感睫毛膏!!	總覺得這刷頭像詭異的昆蟲  買不下手 XD	negative	
691	[心得] 中國大陸福建廈門&金門小三通彩妝採購	大陸買日系及歐美系進口品牌都很貴建議所有保養化妝品在台灣買齊 省錢又合用去香港買也不見得比台灣便宜第一次看到開架變成大專櫃,也覺得很神奇都是貴到不行且選擇超少,櫃姐的妝很怪	negative	
2025	[心得] Lavshuca 2010春夏 戀色立體修容組&緋晶蜜潤唇膏 腮紅唇彩	唇彩怎麼辦 要買哪一支!!	negative	
3386	[心得] Media新色腮紅，10色都摸到了！(終於)	如果膚色健康哪色比較適合哩?  猶豫不決中	neutral	
196	[心得] 今天的屈臣氏讓我殺很大！KATE新眼影上市啦！	340跟235差了快一百??不是差一百多嗎XDD	neutral	
118	[心得] 好氣色新歡-Lavshuca戀色立體修容組	定價是360元唷~(我在康是美8折時下手的)哈哈~謝謝你~我乖~聽話收手哩!我家附近的也沒有XD 要跑到中山站附近買	positive	
3661	[心得] 我的EXCEL產品使用紀錄	以為是日本的彩妝品牌excelXD	positive	
1973	[心得] 打敗我手中三支王牌睫毛膏的大創橡膠頭睫毛膏	真的很可怕看標題以為.........XD	negative	
4051	[心得]我的裸妝重點整理	隔離霜跟妝前乳功能會不會很像??	neutral	
3456	[心得] 牙間刷的妙用-刷下睫毛	那是不是只能用一次阿?因為用了會不知道要把牙間刷收在那裡,有特殊的容器?	neutral	
3725	[心得] 我有整數控之LA FEMME腮紅30色試色心得分享(上)	"好想看喔 >""<"	positive	
2826	[心得] 戀愛魔鏡-新魔法之露眼線液VI606+35	我沒有很喜歡紫色也被升火我用br622兩支了 快三年都沒有分叉耶艾莉絲關筆蓋時有小心不要夾到刷毛嗎對了~~請問腮紅!!!	neutral	
1648	[心得] 【LUNASOL】波光浄化 眼影腮紅全試色	完了，體無完膚了我…	neutral	
4572	[心得] benefit修眉吧體驗記	因為這是第一次 所以比較痛(≧艸≦)	neutral	
